ID,City,Latitude,Longitude
84,Bhilwara,25.348000000227216,74.636
85,Bhimavaram,16.542768900085875,81.52734399999999
86,Bhind,26.56523550010522,78.78898639999998
87,Bhind,26.56126229171552,78.78783851610567
88,Bhiwadi,28.203941299923557,76.837441
89,Bhiwandi,19.302556200334553,73.05880719999999
90,Bhiwandi,19.298847910744577,73.0601057998746
91,Bhiwani,28.793170299859305,76.1391283
92,Bhopal,23.258485700373274,77.401989
93,Bhubaneshwar,20.260296400383332,85.8394521
94,Bhuj,23.24724460037377,69.668339
95,Bhusawal,21.045720000405154,75.7808079
96,Bidar,17.9143767002261,77.5263568
97,Bihar Sharif,25.19385900024111,85.5208617
98,Bikaner,28.01592859994446,73.31713669999999
99,Bilaspur,22.078562700407435,82.14764749999999
100,Bokaro,23.65443380035341,86.1456444
101,Bongaigaon,26.480012600114325,90.5580387
102,Botad,22.1686000004062,71.6685
103,Brahmapur,19.309813400335003,84.79715619999999
104,Budaun,28.036700099942152,79.1234
105,Budge Budge,22.48275480040008,88.1817594
106,Bulandshahr,28.4056514999013,77.8542516
107,Bundi,25.441613700218575,75.6375815
108,Burhanpur,21.311883900408645,76.22919919999998
109,Buxar,25.571619500206342,83.9729568
110,Canning,22.312637106620535,88.66162126111722
111,Chakdaha,23.077498300380988,88.53203989999999
112,Chanasma,23.719753629527297,72.10891413732716
113,Chandannagar,22.86147200038904,88.37060709999999
114,Chandausi,28.449103999896533,78.7828513
115,Chandigarh,30.733442099679806,76.7797143
116,Chandrapur,19.95081610037014,79.2986673
117,Chennai,13.083693899688127,80.270186
118,Chhapra,25.778410500186343,84.7514507
119,Chhindwara,22.057824400407693,78.9386203
120,Chikkamagaluru,13.318013999713452,75.7738743
121,Chilakaluripet,16.094950200035395,80.1658779
122,Chitradurga,14.22664429981635,76.40051219999998
123,Chittoor,13.216122399702362,79.0972819
124,Chittorgarh,24.883715700267764,74.6244155
125,Chopda,21.245305180457162,75.2971836064482
126,Churu,28.298334999913116,74.9679308
127,Coimbatore,11.001811499498755,76.96284249999998
128,Cuddalore,11.75643289955872,79.7634644
129,Cuttack,20.46860000039077,85.8792
130,Daman,20.416970100389037,72.833173
131,Damoh,23.83956780034276,79.4444361
132,Danapur,25.635890100200193,85.0474045
133,Darbhanga,26.1569990001482,85.8995065
134,Darjeeling,27.037755400053705,88.263176
135,Datia,25.66503990019739,78.4586499
136,Davanagere,14.466126599844328,75.92063609999998
137,Deesa,24.259497700315528,72.18033479999998
138,Dehradun,30.325564599711697,78.0436813
139,Dehri,24.912911300512278,84.18471599775974
140,Dehri,24.907760000265764,84.1901412
141,Delhi,28.651717799874486,77.2219388
142,Deogarh,21.536218940763437,84.72888976115969
143,Deoghar,24.490494500298826,86.69771059999998
144,Dewas,22.96363000038539,76.05486699999999
145,Dhanbad,23.79528090034538,86.4309638
146,Dhanpuri,23.209677091634617,81.53326301517636
147,Dharmavaram,14.413840499838198,77.7208432
148,Dharwad,15.45405049996088,75.0066516
149,Dhaulpur,26.701064200090574,77.89674899999999
150,Dhilwan,30.34272319971027,75.3855945
151,Dhoraji,21.7326462173102,70.44941589362146
152,Dhrangadhra,22.99170298671924,71.46509657680895
153,Dhuburi,26.018801824915876,89.97730068441473
154,Dhule,20.89800000040236,74.77319999999999
155,Diamond Harbour,22.191009100405847,88.1904741
156,Dibrugarh,27.484459700003953,94.9019447
157,Dimapur,25.913645900172934,93.7283456
158,Dindigul,10.36564599945751,77.9693256
159,Durg,21.189649900407293,81.2851077
160,Durgapur,23.53504750035982,87.3380425
161,Eluru,16.710425700104302,81.1153816
162,Erode,11.330648299523496,77.7276519
163,Etah,27.560019999995497,78.6578425
164,Faizabad,26.778928200082113,82.14269399999999
165,Faridabad,28.40297859990159,77.3103837
166,Faridkot,30.672977199684286,74.7517033
167,Fatehpur,25.92564635450294,80.80683346423353
168,Fatehpur,25.932800000171014,80.8091
169,Fazilka,30.40194376609861,74.03187258869738
170,Firozpur,30.961178399663734,74.6092483
171,Gadchiroli,20.184825295078927,80.00108879198403
172,Gandhinagar,23.22328770037484,72.6492267
173,Ganganagar,29.909260210203612,73.8746725705563
174,Gangapur,26.477689400114574,76.72280279999998
175,Gangawati,15.431506199958227,76.5327743
176,Gangtok,27.329046000021332,88.61226729999998
177,Gaya,24.79643550027494,85.0079563
178,Ghaziabad,28.67115269987239,77.41203559999998
179,Ghazipur,25.587416200204835,83.5903956
180,Giridih,24.18705306786442,86.3000873965355
181,Giridih,24.19142240032022,86.30056939999999
182,Godhra,22.778500100391796,73.6245157
183,Golaghat,26.51107940584248,93.96942635699888
184,Gonda,27.131840400043288,81.96459209999999
185,Gondal,21.95750960040874,70.80098959999998
186,Gondia,21.455228000409694,80.1962729
187,Gorakhpur,26.76002170008417,83.3668129
188,Greater Noida,28.46707339989456,77.5137649
189,Gudivada,16.432997600073655,80.99371509999999
190,Gujarat International Finance Tec-City,23.16397400802561,72.6841903072355
191,Guna,24.6476632002868,77.3161782
192,Guntakal,15.161098099926331,77.37689310000002
193,Guntur,16.291518900057756,80.4541588
194,Gurugram,28.464614799894825,77.02991939999998
195,Guwahati,26.18059780014577,91.75394299999999
196,Gwalior,26.203724700143365,78.1573628
197,Habra,22.844667900389613,88.6618466
198,Hajipur,25.690556800194916,85.20900939999999
199,Haldia,22.028124000408027,88.06326549999999
200,Haldwani,29.211790353828256,79.5042466091648
201,Haldwani,29.211790353828256,79.5042466091648
202,Hanumangarh,29.622138743674657,74.29059386030087
203,Hanumangarh,29.576025399779287,74.3342203
204,Hardoi,27.401061900013293,80.13296690000001
205,Haridwar,29.938447299745288,78.1452985
206,Hassan,13.007081699679981,76.0992703
207,Hathras,27.5975887999913,78.0545477
208,Hathras,27.59579157184318,78.05058996808447
209,Hazaribagh,23.991352100333398,85.3627839
210,Himatnagar,23.59675240386314,72.96704758973124
211,Hindaun,26.744101316372607,77.03211718992486
212,Hindaun,26.732500600087167,77.0363121
213,Hinganghat,20.54969954008383,78.84232679971866
214,Hinganghat,20.548413200393306,78.84112059999998
